genres,release_year,meta_score,user_score
,2017,85.0,8.7
,2021,88.0,8.7
2D,1998,65.0,7.4
2D,2001,86.0,8.5
2D,2002,88.0,8.933333333333332
2D,2003,86.0,8.899999999999999
2D,2004,76.125,8.175
2D,2005,75.625,7.3125
2D,2006,78.63636363636364,8.118181818181817
2D,2007,60.0,7.3
2D,2008,80.2,8.680000000000001
2D,2009,78.11111111111111,8.288888888888888
2D,2010,82.88888888888889,8.11111111111111
2D,2011,67.11111111111111,7.28888888888889
2D,2012,79.25,7.275
2D,2013,74.5,7.7
2D,2014,81.11111111111111,8.133333333333333
2D,2015,73.71428571428571,7.642857142857143
2D,2016,77.0,7.6
2D,2017,73.0,7.199999999999999
2D,2018,83.5,8.1
2D,2019,82.33333333333333,7.3999999999999995
2D,2020,70.0,7.75
2D,2023,79.0,8.8
3D,1996,94.0,9.1
3D,1998,92.0,9.2
3D,1999,79.0,8.6
3D,2000,83.5,8.45
3D,2001,92.0,9.0
3D,2002,92.0,8.3
3D,2003,71.0,7.6
3D,2004,78.33333333333333,8.233333333333334
3D,2007,85.33333333333333,8.466666666666667
3D,2008,86.0,8.6
3D,2009,59.0,8.2
3D,2010,82.2,8.440000000000001
3D,2011,78.66666666666667,7.866666666666667
3D,2012,69.0,7.4
3D,2013,78.2,7.4799999999999995
3D,2014,85.16666666666667,8.583333333333334
3D,2015,58.0,6.2
3D,2016,73.0,7.45
3D,2017,78.5,7.716666666666666
3D,2018,74.0,7.3500000000000005
3D,2019,73.0,7.8
3D,2020,78.0,8.0
3D,2021,89.0,8.7
3D,2022,82.5,8.9
Action,1996,94.0,9.1
Action,1997,91.33333333333333,8.700000000000001
Action,1998,78.5,8.3
Action,1999,78.0,8.15
Action,2000,88.0,8.566666666666668
Action,2001,88.0,8.666666666666666
Action,2002,90.6,8.82
Action,2003,78.75,8.45
Action,2004,77.36363636363636,8.245454545454546
Action,2005,71.81818181818181,7.636363636363637
Action,2006,79.2,7.9
Action,2007,78.71428571428571,7.8999999999999995
Action,2008,80.0,7.783333333333334
Action,2009,78.66666666666667,8.1
Action,2010,76.14285714285714,7.95
Action,2011,71.91666666666667,7.391666666666667
Action,2012,74.71428571428571,7.378571428571428
Action,2013,74.875,7.5625
Action,2014,75.46153846153847,7.946153846153846
Action,2015,71.0,7.546153846153846
Action,2016,74.44444444444444,7.377777777777778
Action,2017,75.4,7.62
Action,2018,78.0,7.754545454545454
Action,2019,77.9,7.51
Action,2020,74.8,7.8
Action,2021,81.75,8.1
Action,2022,82.66666666666667,8.200000000000001
Action,2023,86.5,8.75
Action Adventure,1998,99.0,9.1
Action Adventure,2000,95.0,9.1
Action Adventure,2001,78.0,8.6
Action Adventure,2002,90.25,8.7
Action Adventure,2003,94.0,8.933333333333334
Action Adventure,2004,72.0,7.8999999999999995
Action Adventure,2005,89.0,8.9
Action Adventure,2006,75.75,8.1
Action Adventure,2007,84.0,7.800000000000001
Action Adventure,2009,87.0,7.9
Action Adventure,2010,74.33333333333333,7.133333333333333
Action Adventure,2011,90.66666666666667,8.200000000000001
Action Adventure,2012,68.2,7.140000000000001
Action Adventure,2013,81.8,8.26
Action Adventure,2014,75.33333333333333,8.433333333333334
Action Adventure,2015,70.0,7.82
Action Adventure,2016,86.0,8.6
Action Adventure,2017,85.66666666666667,8.283333333333333
Action Adventure,2018,82.75,8.25
Action Adventure,2019,86.66666666666667,8.566666666666668
Action Adventure,2021,78.33333333333333,7.566666666666666
Action Adventure,2022,86.0,7.1
Action Adventure,2023,88.5,8.399999999999999
Action RPG,2003,72.0,8.5
Action RPG,2004,79.0,8.1
Action RPG,2006,67.0,6.800000000000001
Action RPG,2007,85.0,8.0
Action RPG,2009,90.0,8.8
Action RPG,2012,92.0,9.1
Action RPG,2013,91.0,9.0
Action RPG,2015,81.75,8.575
Action RPG,2017,78.75,8.15
Action RPG,2018,76.0,6.92
Action RPG,2019,73.0,7.3
Action RPG,2020,89.0,8.8
Action RPG,2022,89.0,8.5
Action RPG,2023,92.0,8.8
Adventure,2000,57.0,6.3
Adventure,2002,50.0,7.6
Adventure,2003,55.0,6.4
Adventure,2005,70.0,8.1
Adventure,2007,78.0,8.6
Adventure,2008,78.5,8.3
Adventure,2010,77.0,7.983333333333333
Adventure,2012,60.0,7.7
Adventure,2018,71.0,7.4
Adventure,2021,74.0,7.1
Alternative,2003,73.0,7.8
Alternative,2009,80.0,7.6
Application,2006,71.0,7.0
Application,2011,69.0,6.6
Application,2012,59.0,4.3
Application,2013,70.0,6.3
Application,2016,72.0,7.1
Application,2021,77.0,7.8
Arcade,1999,91.0,7.8
Arcade,2000,82.0,8.1
Arcade,2003,81.0,8.1
Arcade,2004,66.0,7.8
Arcade,2005,72.25,7.75
Arcade,2006,71.875,7.7625
Arcade,2007,71.4,7.76
Arcade,2008,73.33333333333333,8.1
Arcade,2009,73.75,7.875
Arcade,2011,79.5,8.05
Arcade,2014,82.75,8.274999999999999
Arcade,2015,71.33333333333333,7.833333333333333
Arcade,2016,64.0,5.4
Arcade,2017,87.5,8.5
Arcade,2018,82.0,8.5
Arcade,2019,59.0,4.2
Arcade,2020,76.5,7.3
Arcade,2021,70.0,5.5
Arcade,2022,76.33333333333333,6.0
Arcade,2023,94.0,8.7
Athletics,2006,76.0,8.1
Athletics,2007,67.0,7.6
Athletics,2008,70.0,7.0
Athletics,2009,80.0,8.3
Athletics,2013,61.5,6.75
Athletics,2016,62.5,7.300000000000001
Athletics,2022,72.0,5.9
Automobile,2005,91.0,8.7
Automobile,2006,72.0,8.3
Automobile,2008,82.0,8.5
Automobile,2009,77.0,8.1
Automobile,2011,85.0,8.2
Automobile,2014,87.5,8.45
Automobile,2015,90.0,8.2
Automobile,2017,92.0,8.6
Automobile,2019,59.0,4.2
Automobile,2020,75.0,7.1
Automobile,2022,73.0,6.8
Baseball,2005,76.0,8.4
Baseball,2008,69.0,7.9
Basketball,2002,71.0,7.4
Basketball,2006,69.0,7.8
Beat-'Em-Up,2005,56.0,7.6
Beat-'Em-Up,2009,59.0,8.2
Beat-'Em-Up,2010,62.5,7.3
Beat-'Em-Up,2011,56.0,6.8
Beat-'Em-Up,2013,49.0,5.2
Beat-'Em-Up,2014,81.0,8.55
Beat-'Em-Up,2015,58.0,6.2
Beat-'Em-Up,2016,70.0,7.5
Beat-'Em-Up,2017,71.5,7.75
Beat-'Em-Up,2018,70.66666666666667,7.266666666666667
Beat-'Em-Up,2019,67.0,7.8
Beat-'Em-Up,2020,78.0,8.0
Beat-'Em-Up,2022,80.0,8.9
