Title,(M) Copies Sold,Copies Sold,As of,Release,Genre,Developers,Publishers,Meta Score,User Score,,,,,
Mario Kart 8 Deluxe,64.27,"64,270,000","September 30, 2024","April 28, 2017",Kart racing,Nintendo EPD,Nintendo,92,8.6,,,,COUNT of Meta Score,COUNT of User Score
Animal Crossing: New Horizons,46.45,"46,450,000","September 30, 2024","March 20, 2020",Social simulation,Nintendo EPD,Nintendo,90,5.6,,,,57,57
Super Smash Bros. Ultimate,35.14,"35,140,000","September 30, 2024","December 7, 2018",Fighting,"Bandai Namco Studios
Sora Ltd.",Nintendo,93,8.6,,,,,
The Legend of Zelda: Breath of the Wild,32.29,"32,290,000","September 30, 2024","March 3, 2017",Action-adventure,Nintendo EPD,Nintendo,96,8.3,,,,,
Super Mario Odyssey,28.50,"28,500,000","September 30, 2024","October 27, 2017",Platformer,Nintendo EPD,Nintendo,97,8.9,,,,,
The Legend of Zelda: Tears of the Kingdom,21.04,"21,040,000","September 30, 2024","May 12, 2023",Action-adventure,Nintendo EPD,Nintendo,96,8.2,,,,,
Super Mario Party,20.98,"20,980,000","September 30, 2024","October 5, 2018",Party,NDcube,Nintendo,76,7,,,,,
New Super Mario Bros. U Deluxe,17.77,"17,770,000","September 30, 2024","January 11, 2019",Platformer,Nintendo EPD,Nintendo,80,7,,,,,
Ring Fit Adventure,15.38,"15,380,000","March 31, 2023","October 18, 2019","Exergame
role-playing",Nintendo EPD,Nintendo,83,8.6,,,,,
Nintendo Switch Sports,14.37,"14,370,000","September 30, 2024","April 29, 2022",Sports,Nintendo EPD,Nintendo,72,5.9,,,,,
Luigi's Mansion 3,14.25,"14,250,000","March 31, 2024","October 31, 2019",Action-adventure,Next Level Games,Nintendo,86,8.4,,,,,
Splatoon 2,13.60,"13,600,000","December 31, 2022","July 21, 2017",Third-person shooter,Nintendo EPD,Nintendo,83,8.4,,,,,
Super Mario 3D World + Bowser's Fury,13.47,"13,470,000","March 31, 2024","February 12, 2021",Platformer,Nintendo EPD,Nintendo,89,8.7,,,,,
Mario Party Superstars,12.89,"12,890,000","March 31, 2024","October 29, 2021",Party,NDcube,Nintendo,80,8,,,,,
Splatoon 3,11.96,"11,960,000","March 31, 2024","September 9, 2022",Third-person shooter,Nintendo EPD,Nintendo,83,6.8,,,,,
Super Mario 3D All-Stars,9.07,"9,070,000","December 31, 2021","September 18, 2020","Platformer
compilation",Nintendo EPD,Nintendo,82,6.4,,,,,
Super Mario Maker 2,8.42,"8,420,000","December 31, 2022","June 28, 2019","Platformer
Level editor",Nintendo EPD,Nintendo,88,8.5,,,,,
Kirby and the Forgotten Land,7.52,"7,520,000","March 31, 2024","March 25, 2022",Platformer,HAL Laboratory,Nintendo,85,8.9,,,,,
The Legend of Zelda: Link's Awakening,6.46,"6,460,000","December 31, 2022","September 20, 2019",Action-adventure,Grezzo,Nintendo,87,8.4,,,,,
Clubhouse Games: 51 Worldwide Classics,4.64,"4,640,000","December 31, 2022","June 5, 2020",Tabletop game,NDcube,Nintendo,82,7.7,,,,,
Donkey Kong Country: Tropical Freeze,4.62,"4,620,000","December 31, 2022","May 4, 2018",Platformer,Retro Studios,Nintendo,86,8.6,,,,,
Mario Tennis Aces,4.50,"4,500,000","December 31, 2022","June 22, 2018",Sports,Camelot Software Planning,Nintendo,75,7,,,,,
Kirby Star Allies,4.38,"4,380,000","December 31, 2022","March 16, 2018",Platformer,HAL Laboratory,Nintendo,73,7.5,,,,,
The Legend of Zelda: Skyward Sword HD,4.15,"4,150,000","December 31, 2022","July 16, 2021",Action-adventure,Tantalus Media,Nintendo,81,7.3,,,,,
Fire Emblem: Three Houses,4.12,"4,120,000","December 31, 2022","July 26, 2019",Tactical role-playing,"Intelligent Systems
Koei Tecmo",Nintendo,89,8.8,,,,,
Hyrule Warriors: Age of Calamity,4.00,"4,000,000","January 4, 2022","November 20, 2020",Hack and slash,Omega Force,"JP: Koei Tecmo
NA/PAL: Nintendo",78,8,,,,,
1-2-Switch,3.74,"3,740,000","December 31, 2022","March 3, 2017",Party,Nintendo EPD,Nintendo,58,4.8,,,,,
Pikmin 4,3.48,"3,480,000","March 31, 2024","July 21, 2023",Real-time strategy,Nintendo EPD,Nintendo,87,9,,,,,
Paper Mario: The Origami King,3.47,"3,470,000","December 31, 2022","July 17, 2020","Role-playing
action-adventure",Intelligent Systems,Nintendo,80,7,,,,,
Yoshi's Crafted World,3.35,"3,350,000","December 31, 2022","March 29, 2019",Platformer,Good-Feel,Nintendo,79,7.8,,,,,
Metroid Dread,3.07,"3,070,000","December 31, 2022","October 8, 2021",Action-adventure,"MercurySteam
Nintendo EPD",Nintendo,88,8.7,,,,,
Arms,2.72,"2,720,000","December 31, 2022","June 16, 2017",Fighting,Nintendo EPD,Nintendo,77,7.1,,,,,
Xenoblade Chronicles 2,2.70,"2,700,000","December 31, 2022","December 1, 2017",Action role-playing,Monolith Soft,Nintendo,83,8.5,,,,,
Mario Strikers: Battle League,2.54,"2,540,000","March 31, 2023","June 10, 2022",Sports,Next Level Games,Nintendo,73,4.4,,,,,
Mario Golf: Super Rush,2.48,"2,480,000","December 31, 2022","June 25, 2021",Sports,Camelot Software Planning,Nintendo,70,5.5,,,,,
